???,??,???
result_data,277,result-data-special-2678297
result_data,278,result-data-normalWord-273218
result_data,279,result-data-1206080
result_data,280,result-data-normalWord-725035
result_data,281,result-data-special-1259265
result_data,282,result-data-special-2298362
result_data,283,result-data-free-3110275
result_data,284,result-data-upWord-1113261
result_data,285,result-data-upWord-2678297
result_data,286,result-data-273218
result_data,287,result-data-downWord-230996
result_data,288,result-data-downWord-971735
result_data,289,result-data-upWord-3960820
result_data,290,result-data-downWord-3273691
result_data,291,result-data-3960820
result_data,292,result-data-free-2637056
result_data,294,result-data-normalWord-672752
result_data,295,result-data-free-2637056
result_data,296,result-data-normalWord-3338224
result_data,297,result-data-free-256924
result_data,298,result-data-upWord-3273691
result_data,299,result-data-normalWord-2637056
result_data,300,result-data-3556707
result_data,301,result-data-special-2177658
result_data,302,result-data-upWord-3777606
result_data,303,result-data-normalWord-1168112
result_data,304,result-data-downWord-2678297
result_data,305,result-data-146131
result_data,306,result-data-special-261223
result_data,307,result-data-downWord-653443
result_data,308,result-data-normalWord-2177658
result_data,309,result-data-upWord-961547
result_data,310,result-data-special-2487758
result_data,311,result-data-upWord-2416631
result_data,312,result-data-upWord-3024418
result_data,313,result-data-downWord-2487758
result_data,314,result-data-upWord-552679
result_data,315,result-data-upWord-971735
result_data,316,result-data-downWord-511037
result_data,317,result-data-upWord-2403045
result_data,318,result-data-downWord-226061
result_data,319,result-data-normalWord-3960187
result_data,320,result-data-downWord-725035
result_data,321,result-data-normalWord-2492155
result_data,322,result-data-2986259
result_data,323,result-data-special-146131
result_data,324,result-data-normalWord-2333331
result_data,325,result-data-special-3338224
result_data,326,result-data-free-2177658
result_data,327,result-data-special-2333331
result_data,328,result-data-special-1845057
result_data,329,result-data-free-3324843
result_data,330,result-data-upWord-1351071
result_data,331,result-data-special-3392338
result_data,332,result-data-free-3960820
result_data,333,result-data-511037
result_data,334,result-data-normalWord-3789120
result_data,335,result-data-173748
result_data,336,result-data-downWord-256924
result_data,337,result-data-free-1845057
result_data,338,result-data-free-2146369
result_data,339,result-data-free-3273691
result_data,340,result-data-normalWord-937444
result_data,341,result-data-3338224
result_data,342,result-data-special-767290
result_data,343,result-data-free-2623413
result_data,344,result-data-downWord-556533
result_data,345,result-data-downWord-552679
result_data,346,result-data-free-1113261
